transaction_id,customer_age,transaction_amount,account_balance,avg_amount_3m,n_transactions_month,days_since_last_transaction,transaction_hour,transaction_type,channel,outlier_type
TX00111,25,59.48,1281.13,57.28,14,4,13,ATM withdrawal,ATM,none
TX00112,45,65.95,1446.22,52.27,13,2,10,bill payment,mobile app,none
TX00113,22,75.9,6363.25,87.79,39,2,7,POS payment,POS terminal,none
TX00114,64,83.63,1938.39,54.94,31,2,10,POS payment,POS terminal,none
TX00115,75,120.56,4619.46,68.21,12,5,9,ATM withdrawal,ATM,none
TX00116,29,29.58,728.55,30.62,5,7,3,ATM withdrawal,ATM,none
TX00117,41,40.23,894.22,52.21,30,2,9,ATM withdrawal,ATM,none
TX00118,42,68.58,1799.25,73.56,42,2,3,online transfer,web banking,none
TX00119,51,90.68,2742.86,95.64,20,3,8,online transfer,mobile app,none
TX00120,25,47.4,1741.48,50.36,29,2,2,online transfer,web banking,none
TX00121,46,54.81,2374.66,52.82,30,3,18,online transfer,mobile app,none
TX00122,47,126.15,3295.72,82.05,35,3,15,online transfer,mobile app,none
TX00123,54,99.54,1396.67,78.71,18,4,17,POS payment,POS terminal,none
TX00124,39,44.14,988.04,40.38,12,5,11,bill payment,mobile app,none
TX00125,56,72.96,3404.14,101.92,17,2,13,POS payment,POS terminal,none
TX00126,54,64.99,1639.9,55.68,18,4,21,POS payment,POS terminal,none
TX00127,49,51.52,1791.89,42.25,18,7,16,online transfer,mobile app,none
TX00128,29,97.61,2624.55,76.88,30,2,12,online transfer,web banking,none
TX00129,54,32.93,848.85,44.96,17,9,3,bill payment,mobile app,none
TX00130,59,33.34,731.81,27.0,1,3,10,online transfer,mobile app,none
TX00131,43,86.78,2555.2,66.69,18,3,23,POS payment,POS terminal,none
TX00132,61,50.76,934.7,47.93,13,2,17,POS payment,POS terminal,none
TX00133,61,42.27,1768.42,41.89,22,3,12,POS payment,POS terminal,none
TX00134,53,91.02,2093.41,67.43,19,5,17,ATM withdrawal,ATM,none
TX00135,39,45.37,1092.92,37.63,15,9,14,ATM withdrawal,ATM,none
TX00136,39,63.45,1424.3,60.04,23,2,19,online transfer,mobile app,none
TX00137,43,138.74,5511.85,107.65,30,4,11,POS payment,POS terminal,none
TX00138,39,92.49,1892.87,79.84,23,2,5,POS payment,POS terminal,none
TX00139,32,37.39,791.4,47.9,25,2,15,ATM withdrawal,ATM,none
TX00140,61,71.91,2534.44,76.5,33,2,16,POS payment,POS terminal,none
TX00141,46,79.26,2574.98,90.78,21,8,4,bill payment,branch,none
TX00142,52,58.21,1096.62,62.47,18,5,13,bill payment,mobile app,none
TX00143,61,71.51,2663.21,40.93,26,4,16,bill payment,mobile app,none
TX00144,58,39.98,1434.29,37.76,15,2,11,POS payment,POS terminal,none
TX00145,66,103.1,3719.29,91.48,29,3,20,bill payment,branch,none
TX00146,51,54.14,1510.34,43.85,16,4,20,bill payment,mobile app,none
TX00147,41,96.86,3544.81,82.7,38,2,12,POS payment,POS terminal,none
TX00148,23,65.26,1863.14,46.19,15,5,17,ATM withdrawal,ATM,none
TX00149,63,74.42,3572.61,88.78,32,3,15,online transfer,mobile app,none
TX00150,55,66.2,2641.22,55.03,12,9,14,ATM withdrawal,ATM,none
TX00151,61,42.62,1529.21,38.85,28,7,12,POS payment,POS terminal,none
TX00152,39,91.51,2837.19,66.47,29,5,13,POS payment,POS terminal,none
TX00153,55,81.91,1313.47,52.14,18,5,9,online transfer,mobile app,none
TX00154,44,54.71,1349.08,45.7,12,6,11,bill payment,branch,none
TX00155,67,116.54,2964.78,68.69,22,2,16,POS payment,POS terminal,none
TX00156,25,107.45,5468.16,106.87,30,3,17,ATM withdrawal,ATM,none
TX00157,40,68.89,2872.35,62.78,22,7,3,POS payment,POS terminal,none
TX00158,34,88.95,3046.13,101.75,22,3,13,online transfer,web banking,none
TX00159,54,58.81,3473.89,43.68,33,2,18,ATM withdrawal,ATM,none
TX00160,39,69.14,1509.96,50.71,31,4,12,ATM withdrawal,ATM,none
TX00161,49,52.11,1093.88,37.81,3,8,13,POS payment,POS terminal,none
TX00162,41,52.63,1261.0,50.69,30,2,1,online transfer,web banking,none
TX00163,67,98.66,4598.25,66.3,33,4,19,online transfer,mobile app,none
TX00164,37,78.22,2524.05,60.46,36,2,8,POS payment,POS terminal,none
TX00165,57,87.05,3303.67,82.38,21,2,16,POS payment,POS terminal,none
TX00166,59,70.95,1651.82,57.82,9,4,9,POS payment,POS terminal,none
TX00167,43,55.7,1301.99,47.94,18,4,11,online transfer,web banking,none
TX00168,25,82.26,5178.74,56.61,30,4,16,online transfer,mobile app,none
TX00169,48,67.98,1270.43,46.76,14,9,3,online transfer,web banking,none
TX00170,69,51.43,1311.18,44.92,24,6,18,bill payment,branch,none
TX00171,63,84.97,1310.7,63.24,25,8,13,online transfer,web banking,none
TX00172,59,97.85,1497.25,72.93,25,3,12,online transfer,web banking,none
TX00173,43,63.02,3371.93,65.41,13,8,3,bill payment,mobile app,none
TX00174,38,73.85,1569.47,72.0,13,3,14,online transfer,web banking,none
TX00175,41,106.74,2375.97,106.74,24,3,15,online transfer,web banking,none
TX00176,38,59.98,2469.17,44.91,22,6,11,bill payment,web banking,none
TX00177,28,45.48,1386.78,50.04,10,12,22,ATM withdrawal,ATM,none
TX00178,38,64.39,2186.28,55.91,23,4,7,POS payment,POS terminal,none
TX00179,51,44.34,1011.72,35.45,35,4,16,POS payment,POS terminal,none
TX00180,54,67.86,1372.28,65.89,28,3,5,POS payment,POS terminal,none
TX00181,45,91.59,1116.63,62.51,15,8,16,POS payment,POS terminal,none
TX00182,18,104.71,3117.83,76.25,30,2,18,online transfer,mobile app,none
TX00183,55,68.79,1816.47,51.04,25,6,16,bill payment,web banking,none
TX00184,43,96.37,4746.23,82.96,23,4,14,online transfer,web banking,none
TX00185,53,69.56,2104.55,70.16,24,11,17,POS payment,POS terminal,none
TX00186,68,71.44,2832.13,94.06,37,4,11,online transfer,mobile app,none
TX00187,39,78.12,1967.07,53.4,15,3,6,POS payment,POS terminal,none
TX00188,28,136.22,2261.83,107.61,35,2,17,online transfer,mobile app,none
TX00189,43,85.23,3434.8,68.12,16,6,8,ATM withdrawal,ATM,none
TX00190,48,65.62,2931.75,58.46,15,5,21,POS payment,POS terminal,none
TX00191,48,71.79,1976.13,63.55,19,3,12,online transfer,web banking,none
TX00192,85,69.14,7825.2,76.79,31,2,12,ATM withdrawal,ATM,none
TX00193,71,56.72,2150.24,58.76,6,7,15,POS payment,POS terminal,none
TX00194,56,47.33,2154.79,40.74,24,4,16,POS payment,POS terminal,none
TX00195,75,62.54,3076.37,49.49,33,1,6,POS payment,POS terminal,none
TX00196,55,53.23,1722.89,45.85,16,4,14,ATM withdrawal,ATM,none
TX00197,54,121.63,4702.44,68.56,31,2,9,ATM withdrawal,ATM,none
TX00198,43,65.63,1449.75,46.3,16,7,12,ATM withdrawal,ATM,none
TX00199,40,79.26,2096.26,59.99,5,3,1,ATM withdrawal,ATM,none
TX00200,29,56.57,1674.45,47.34,24,6,6,bill payment,branch,none
TX00201,38,61.76,1831.05,48.23,29,3,8,online transfer,mobile app,none
TX00202,44,78.92,2008.58,82.34,27,4,17,ATM withdrawal,ATM,none
TX00203,65,69.67,1693.32,54.48,16,6,13,POS payment,POS terminal,none
TX00204,57,58.84,2550.59,68.96,27,2,15,online transfer,mobile app,none
TX00205,32,51.89,2197.77,55.56,22,4,15,POS payment,POS terminal,none
TX00206,57,98.04,2095.29,73.92,18,5,13,ATM withdrawal,ATM,none
TX00207,46,65.46,3495.69,67.57,31,3,18,POS payment,POS terminal,none
TX00208,29,75.47,3045.79,81.13,40,4,5,POS payment,POS terminal,none
TX00209,59,53.05,1344.05,67.94,22,5,7,POS payment,POS terminal,none
TX00210,27,49.99,914.28,53.73,20,2,1,online transfer,mobile app,none
TX00211,50,100.91,3377.24,64.78,26,11,13,POS payment,POS terminal,none
TX00212,43,45.67,1252.22,36.39,31,4,6,online transfer,mobile app,none
TX00213,44,69.13,1609.48,45.57,10,3,15,bill payment,web banking,none
TX00214,44,72.14,2790.63,65.05,13,5,15,online transfer,web banking,none
TX00215,48,75.6,3642.14,65.81,24,4,17,bill payment,branch,none
TX00216,62,68.05,2153.51,72.34,39,2,6,online transfer,mobile app,none
TX00217,31,153.22,3725.94,91.73,24,2,22,online transfer,web banking,none
TX00218,55,58.12,1066.06,49.34,29,3,11,bill payment,web banking,none
TX00219,36,108.13,2649.43,81.27,25,4,10,online transfer,web banking,none
TX00220,76,124.02,7077.39,59.93,27,3,12,ATM withdrawal,ATM,none
TX00221,26,98.84,2797.79,68.12,15,5,14,online transfer,mobile app,none
TX00222,41,76.29,1622.53,70.77,15,4,16,bill payment,mobile app,none
TX00223,44,66.44,1672.36,73.29,28,2,12,online transfer,web banking,none
TX00224,26,164.29,4826.72,119.05,46,1,7,POS payment,POS terminal,none
TX00225,38,129.17,4205.91,104.72,20,5,10,POS payment,POS terminal,none
TX00226,23,48.51,1051.23,56.72,24,5,10,online transfer,web banking,none
TX00227,29,49.99,585.19,53.82,8,6,19,ATM withdrawal,ATM,none
TX00228,77,89.79,3363.02,76.58,15,4,12,online transfer,web banking,none
TX00229,68,30.39,825.78,44.4,17,9,23,online transfer,mobile app,none
TX00230,50,72.78,1492.0,55.28,34,2,8,POS payment,POS terminal,none
TX00231,24,93.6,2472.49,71.86,25,5,19,POS payment,POS terminal,none
TX00232,49,67.87,2350.52,50.77,19,2,14,POS payment,POS terminal,none
TX00233,49,66.64,1795.24,61.0,20,6,19,online transfer,mobile app,none
TX00234,41,87.6,3495.16,82.14,30,2,11,bill payment,branch,none
TX00235,33,56.27,1719.75,63.39,19,6,16,POS payment,POS terminal,none
TX00236,60,81.62,1641.93,89.81,19,7,12,ATM withdrawal,ATM,none
TX00237,37,89.08,2259.26,94.29,2,9,14,POS payment,POS terminal,none
TX00238,72,48.36,742.96,53.41,10,7,16,ATM withdrawal,ATM,none
TX00239,68,68.12,1613.67,60.31,11,3,7,ATM withdrawal,ATM,none
TX00240,32,41.51,731.63,43.62,16,5,18,bill payment,branch,none
TX00241,25,49.51,1787.87,49.18,29,3,13,POS payment,POS terminal,none
TX00242,46,116.65,2316.07,117.04,27,3,9,bill payment,mobile app,none
TX00243,46,78.52,1708.38,68.1,20,3,15,ATM withdrawal,ATM,none
TX00244,23,51.58,1705.35,60.59,29,1,21,bill payment,branch,none
TX00245,29,54.85,1093.48,48.44,26,2,15,ATM withdrawal,ATM,none
TX00246,38,65.68,2105.08,68.16,6,4,13,POS payment,POS terminal,none
TX00247,47,68.29,1551.18,75.41,27,4,12,ATM withdrawal,ATM,none
TX00248,39,45.62,1396.26,47.99,12,14,21,online transfer,mobile app,none
TX00249,32,56.49,2839.4,44.99,34,3,14,ATM withdrawal,ATM,none
TX00250,41,34.18,1055.4,40.74,20,6,20,online transfer,mobile app,none
TX00251,39,37.12,802.35,44.88,11,9,1,online transfer,web banking,none
TX00252,46,48.68,3655.28,45.57,27,3,12,POS payment,POS terminal,none
TX00253,46,53.64,3175.35,47.23,28,3,13,online transfer,web banking,none
TX00254,53,19354.69,1225.09,36.71,20,3,15,online transfer,mobile app,univariate
TX00255,69,105.17,3109.0,65.45,10,6,13,ATM withdrawal,ATM,none
TX00256,27,66.81,1384.63,52.78,1,8,16,POS payment,POS terminal,none
TX00257,28,43.14,887.2,46.59,18,3,15,POS payment,POS terminal,none
TX00258,52,65.5,1055.52,82.09,33,5,20,POS payment,POS terminal,none
TX00259,20,49.19,1792.83,50.81,28,3,10,POS payment,POS terminal,none
TX00260,20,62.25,1793.11,77.39,27,5,11,ATM withdrawal,ATM,none
TX00261,52,101.53,7674.89,94.93,21,2,10,online transfer,web banking,none
TX00262,47,52.06,822.0,65.32,21,8,7,online transfer,web banking,none
TX00263,49,37.19,1543.38,52.24,21,3,12,online transfer,web banking,none
TX00264,54,81.38,2958.16,66.79,42,2,17,POS payment,POS terminal,none
TX00265,46,63.93,1601.37,51.95,26,4,10,bill payment,branch,none
TX00266,38,105.04,7280.08,89.84,35,2,18,bill payment,web banking,none
TX00267,31,49.82,1256.47,34.69,18,2,17,online transfer,mobile app,none
TX00268,52,80.98,2389.58,65.88,29,4,12,POS payment,POS terminal,none
TX00269,74,40.9,615.14,57.73,10,7,22,bill payment,mobile app,none
TX00270,69,56.56,2044.82,68.49,8,7,20,POS payment,POS terminal,none
TX00271,41,189.75,6597.91,116.36,25,4,15,POS payment,POS terminal,none
TX00272,64,81.05,1962.3,48.96,12,6,16,POS payment,POS terminal,none
TX00273,31,42.09,1444.75,49.42,13,10,6,ATM withdrawal,ATM,none
TX00274,77,56.96,1878.48,60.04,16,8,6,POS payment,POS terminal,none
TX00275,40,53.14,877.0,46.59,18,5,12,POS payment,POS terminal,none
TX00276,71,72.06,1776.35,82.19,17,6,18,bill payment,mobile app,none
TX00277,69,79.44,3120.46,70.57,22,3,10,POS payment,POS terminal,none
TX00278,46,70.89,961.29,75.94,3,7,12,bill payment,web banking,none
TX00279,55,80.98,3103.9,75.49,34,2,21,ATM withdrawal,ATM,none
TX00280,51,53.59,828.73,48.65,16,9,6,POS payment,POS terminal,none
TX00281,68,50.45,3338.2,76.93,20,6,20,POS payment,POS terminal,none
TX00282,57,67.84,1769.58,70.54,27,3,6,ATM withdrawal,ATM,none
TX00283,46,71.78,1746.45,72.58,27,4,17,ATM withdrawal,ATM,none
TX00284,61,76.22,1759.9,57.29,18,6,10,POS payment,POS terminal,none
TX00285,58,90.75,4863.81,90.47,40,4,13,ATM withdrawal,ATM,none
TX00286,41,69.81,2690.98,70.96,35,4,17,ATM withdrawal,ATM,none
TX00287,42,60.61,1552.21,36.59,36,1,9,POS payment,POS terminal,none
TX00288,23,38.58,1107.93,52.25,19,4,10,POS payment,POS terminal,none
TX00289,69,66.62,2469.58,57.61,24,4,13,ATM withdrawal,ATM,none
TX00290,46,48.32,1901.1,39.34,22,4,9,POS payment,POS terminal,none
TX00291,69,71.65,1828.06,71.23,1,6,6,POS payment,POS terminal,none
TX00292,30,90.83,5660.08,71.43,27,1,21,POS payment,POS terminal,none
TX00293,48,72.32,2541.64,52.48,1,11,6,ATM withdrawal,ATM,none
TX00294,50,33.28,616.93,36.88,18,6,1,online transfer,web banking,none
TX00295,52,37.1,619.5,25.16,15,3,15,POS payment,POS terminal,none
TX00296,52,90.48,990.64,46.47,31,9,1,online transfer,mobile app,multivariate
TX00297,57,135.21,2824.59,89.08,14,6,2,POS payment,POS terminal,none
TX00298,40,63.58,1602.77,54.64,23,2,17,POS payment,POS terminal,none
TX00299,53,68.2,2195.67,94.03,20,4,13,POS payment,POS terminal,none
TX00300,33,53.63,1351.71,66.25,15,4,13,ATM withdrawal,ATM,none
TX00301,52,77.86,4191.44,71.35,26,4,18,POS payment,POS terminal,none
TX00302,36,63.71,1480.41,50.0,22,2,16,online transfer,web banking,none
TX00303,48,46.56,1553.75,50.55,38,2,12,POS payment,POS terminal,none
TX00304,18,61.55,1937.18,65.09,15,6,10,POS payment,POS terminal,none
TX00305,28,49.31,1171.32,44.88,9,7,20,online transfer,mobile app,none
TX00306,59,80.18,2929.04,80.76,39,4,13,bill payment,web banking,none
TX00307,45,47.4,3244.05,39.16,26,4,5,POS payment,POS terminal,none
TX00308,61,67.73,2085.74,59.88,29,5,17,POS payment,POS terminal,none
TX00309,18,51.46,1459.04,52.24,5,7,17,POS payment,POS terminal,none
TX00310,38,60.98,1575.3,59.37,21,4,11,bill payment,web banking,none
TX00311,25,96.48,1987.56,99.29,24,6,14,online transfer,web banking,none
TX00312,31,60.04,1684.71,62.29,24,2,0,online transfer,mobile app,none
TX00313,43,51.46,1028.34,53.58,8,6,5,POS payment,POS terminal,none
TX00314,45,81.31,1931.13,60.33,23,3,15,online transfer,web banking,none
TX00315,50,42.35,1893.19,35.75,17,4,7,bill payment,mobile app,none
TX00316,66,63.65,2637.64,48.48,28,2,11,online transfer,web banking,none
TX00317,48,109.98,6601.7,119.24,31,2,19,POS payment,POS terminal,none
TX00318,55,36.24,559.75,50.24,16,8,16,POS payment,POS terminal,none
TX00319,61,46.0,1692.5,64.77,17,8,15,POS payment,POS terminal,none
TX00320,37,103.35,5279.12,68.71,18,4,8,POS payment,POS terminal,none
TX00321,31,75.57,1629.4,73.67,28,2,23,bill payment,mobile app,none
TX00322,27,128.06,3071.96,99.93,31,3,8,online transfer,web banking,none
TX00323,40,81.12,2245.73,62.46,11,4,12,bill payment,mobile app,none
TX00324,18,70.74,2406.52,59.71,20,4,18,online transfer,mobile app,none
TX00325,83,38.77,1919.9,34.26,14,7,6,online transfer,mobile app,none
TX00326,66,96.18,2875.03,78.55,34,2,5,online transfer,web banking,none
TX00327,48,45.85,984.98,72.6,25,3,15,POS payment,POS terminal,none
TX00328,60,46.45,1498.87,46.83,21,3,11,POS payment,POS terminal,none
TX00329,47,42.95,1464.27,38.26,16,12,23,online transfer,mobile app,none
TX00330,56,42.57,1133.68,55.12,23,4,16,POS payment,POS terminal,none
TX00331,33,66.26,2202.05,43.64,34,3,17,ATM withdrawal,ATM,none
TX00332,51,77.07,3706.42,67.39,20,7,5,POS payment,POS terminal,none
TX00333,64,119.9,5335.98,98.0,21,7,18,bill payment,web banking,none
TX00334,56,73.81,2384.25,56.45,15,4,13,bill payment,mobile app,none
TX00335,51,116.84,2877.74,106.65,11,6,13,POS payment,POS terminal,none
TX00336,43,66.3,1478.08,60.33,12,3,8,POS payment,POS terminal,none
TX00337,64,91.93,1487.66,63.0,29,2,15,online transfer,web banking,none
TX00338,63,66.62,1555.06,54.7,6,12,12,POS payment,POS terminal,none
TX00339,46,57.46,2531.91,50.14,24,4,18,ATM withdrawal,ATM,none
TX00340,52,87.54,3161.13,76.06,32,4,9,POS payment,POS terminal,none
TX00341,39,67.65,3106.06,58.2,19,4,17,bill payment,branch,none
TX00342,30,44.62,1212.39,47.44,21,5,9,POS payment,POS terminal,none
TX00343,18,99.27,4541.48,62.25,26,3,12,online transfer,web banking,none
TX00344,41,34.8,527.02,41.55,13,3,14,bill payment,branch,none
TX00345,27,48.43,1132.89,41.74,19,6,11,bill payment,web banking,none
TX00346,18,62.48,1603.91,45.02,7,15,14,bill payment,branch,none
TX00347,35,93.3,2370.25,80.62,20,7,16,bill payment,branch,none
TX00348,18,78.65,1669.6,64.38,15,6,10,ATM withdrawal,ATM,none
TX00349,52,96.38,3222.18,70.34,24,2,0,ATM withdrawal,ATM,none
TX00350,27,87.14,2000.25,79.41,20,4,11,bill payment,web banking,none
TX00351,55,72.03,2816.15,74.82,14,4,16,POS payment,POS terminal,none
TX00352,38,51.53,1558.14,77.68,31,2,14,ATM withdrawal,ATM,none
TX00353,58,41.26,1082.36,38.57,26,5,9,bill payment,web banking,none
TX00354,58,66.14,1101.25,69.6,22,7,18,online transfer,mobile app,none
TX00355,40,60.98,2098.39,70.57,15,4,4,online transfer,mobile app,none
TX00356,42,40.01,4908.75,30.81,8,7,16,online transfer,web banking,none
TX00357,62,83.75,3122.3,77.93,28,2,15,ATM withdrawal,ATM,none
TX00358,18,78.8,2624.85,76.49,43,2,7,online transfer,web banking,none
TX00359,28,87.11,2390.6,76.86,27,2,18,online transfer,web banking,none
