incident_id,day_of_week,hour,is_month_end,system,incident_type,severity,team,after_change,affected_users,transactions_impacted,resolution_minutes,downtime_minutes,availability_pct,cpu_peak_pct,memory_peak_pct,monitoring_alerts,sla_breach
INC100024,Friday,1,no,Home Banking,Hardware Failure,Medium,Infrastructure,no,248,8647,1033,688,80.0,59.9,73.3,4,yes
INC100025,Monday,6,no,Payments Gateway,Human Error,Low,Application Support,no,20,652,199,82,94.46,55.8,55.6,3,no
INC100026,Wednesday,23,no,Home Banking,Security Alert,Low,Security,no,76,2062,366,177,88.12,37.2,56.3,0,no
INC100027,Monday,0,no,Payments Gateway,Security Alert,Low,Security,no,9,138,423,222,84.48,69.8,63.9,1,no
INC100028,Monday,15,no,CRM,Performance Degradation,High,Infrastructure,no,11,278,153,42,96.64,82.2,73.1,2,no
INC100029,Thursday,11,no,ATM Network,Human Error,Low,Application Support,yes,30,595,98,55,96.46,78.7,61.4,1,no
INC100030,Friday,3,yes,ATM Network,Network Outage,Medium,Infrastructure,no,160,4571,685,367,80.0,64.0,71.7,33,yes
INC100031,Sunday,5,no,Payments Gateway,Network Outage,Medium,Network,no,32,872,367,240,83.79,58.1,64.4,1,no
INC100032,Tuesday,15,no,Mobile App,Security Alert,Medium,Security,no,36,826,378,162,89.12,64.8,48.7,1,no
INC100033,Tuesday,14,no,Home Banking,Performance Degradation,Low,Infrastructure,yes,67,2030,128,74,94.94,67.1,64.3,4,yes
INC100034,Wednesday,0,yes,Core Banking,Batch Failure,High,Application Support,no,75,2338,245,148,89.78,79.2,70.6,1,yes
INC100035,Monday,21,no,Trading Platform,Network Outage,Medium,Network,no,23,496,247,139,90.69,65.0,73.3,5,no
INC100036,Monday,2,no,Mobile App,Application Error,Medium,Application Support,no,423,11519,188,130,91.07,71.3,97.5,13,no
INC100037,Wednesday,15,yes,ATM Network,Hardware Failure,Medium,Infrastructure,no,48,1114,517,251,82.43,70.1,74.4,4,yes
INC100038,Monday,23,no,Home Banking,Network Outage,Medium,Infrastructure,no,80,1884,669,445,80.0,68.2,60.4,4,yes
INC100039,Thursday,12,no,Trading Platform,Hardware Failure,Critical,Infrastructure,yes,44,866,202,76,95.06,70.1,62.1,3,yes
INC100040,Wednesday,13,no,Home Banking,Performance Degradation,High,DBA,no,125,2883,248,136,90.68,35.3,28.7,11,yes
INC100041,Saturday,22,no,Payments Gateway,Hardware Failure,High,Infrastructure,yes,217,5301,286,189,87.84,55.6,53.0,2,yes
INC100042,Friday,16,no,Trading Platform,Application Error,Medium,Application Support,no,227,4174,275,158,88.99,91.1,77.4,11,no
INC100043,Tuesday,14,no,Payments Gateway,Human Error,Low,Application Support,no,29,750,329,135,90.73,65.6,70.8,4,no
INC100044,Saturday,8,no,Trading Platform,Performance Degradation,Medium,DBA,no,137,3980,279,157,89.21,69.5,68.1,11,no
INC100045,Friday,1,yes,Core Banking,Batch Failure,Medium,Application Support,no,109,2707,512,336,80.0,66.8,52.2,11,yes
INC100046,Tuesday,12,no,ATM Network,Application Error,Medium,Application Support,no,146,2074,558,346,80.0,49.4,54.7,11,yes
INC100047,Tuesday,2,no,CRM,Application Error,High,Application Support,yes,38,976,97,48,96.64,56.0,51.7,1,no
INC100048,Thursday,7,yes,Mobile App,Application Error,Medium,Application Support,yes,59,1154,152,113,92.44,65.0,54.1,2,no
INC100049,Monday,16,no,Payments Gateway,Security Alert,Low,Security,no,135,3065,394,207,85.51,87.5,80.0,10,no
INC100050,Monday,11,no,Payments Gateway,Human Error,Medium,Infrastructure,no,162,4965,90,39,97.57,78.1,79.8,9,no
INC100051,Monday,10,yes,Trading Platform,Performance Degradation,Low,Infrastructure,no,177,2710,306,140,90.31,64.3,53.8,12,yes
INC100052,Friday,14,no,Trading Platform,Performance Degradation,Low,DBA,no,51,1097,678,384,80.0,78.5,58.3,10,no
INC100053,Thursday,8,no,ATM Network,Performance Degradation,Medium,Infrastructure,yes,55,1558,116,86,94.43,62.6,49.7,2,no
INC100054,Friday,11,no,CRM,Hardware Failure,Medium,Infrastructure,yes,4,114,641,418,80.0,31.2,36.2,11,yes
INC100055,Friday,10,no,ATM Network,Human Error,Medium,Infrastructure,yes,14,286,94,85,93.59,49.3,39.0,13,no
INC100056,Wednesday,19,no,Mobile App,Application Error,Medium,Application Support,yes,49,1607,538,294,80.0,59.1,39.7,5,yes
INC100057,Thursday,8,no,Mobile App,Human Error,Medium,Infrastructure,no,27,696,129,83,93.95,80.6,60.1,3,no
INC100058,Monday,20,yes,Payments Gateway,Application Error,High,Application Support,no,148,4232,206,92,92.87,64.5,40.5,14,no
INC100059,Monday,15,yes,Trading Platform,Hardware Failure,Critical,Infrastructure,no,19,519,169,97,93.23,87.9,60.2,3,no
INC100060,Thursday,11,no,Trading Platform,Human Error,Medium,Application Support,no,32,806,129,72,95.07,78.7,80.0,4,no
INC100061,Wednesday,0,no,Home Banking,Security Alert,High,Security,no,52,1622,482,169,88.62,60.4,54.5,7,yes
INC100062,Thursday,18,no,Mobile App,Application Error,Medium,Application Support,yes,222,7349,257,143,89.67,69.0,59.1,5,no
INC100063,Friday,14,yes,Trading Platform,Performance Degradation,Medium,Infrastructure,no,29,506,457,223,84.54,49.6,44.3,8,no
INC100064,Thursday,17,no,CRM,Application Error,Medium,Application Support,yes,61,1528,115,117,92.27,58.6,41.8,14,no
INC100065,Thursday,2,no,Core Banking,Hardware Failure,Medium,Infrastructure,no,79,2002,730,443,80.0,53.7,72.1,10,yes
INC100066,Thursday,11,no,Core Banking,Application Error,High,Application Support,yes,174,4040,92,35,97.76,57.5,62.0,12,no
INC100067,Tuesday,22,no,Mobile App,Security Alert,Critical,Security,no,190,5455,98,59,96.46,85.1,64.8,20,no
INC100068,Monday,10,no,Core Banking,Human Error,Low,Application Support,no,58,1579,257,130,90.32,43.8,49.6,6,no
INC100069,Wednesday,19,no,CRM,Application Error,Low,Application Support,yes,7,256,302,152,89.54,58.0,51.7,1,no
INC100070,Monday,6,no,Payments Gateway,Network Outage,High,Network,no,58,1718,292,111,92.7,54.4,55.0,6,yes
INC100071,Wednesday,13,no,Mobile App,Security Alert,Low,Security,yes,62,1946,452,249,82.59,57.6,63.9,27,no
INC100072,Saturday,15,no,Mobile App,Network Outage,Critical,Network,yes,121,2475,234,128,91.6,42.3,36.6,10,yes
INC100073,Monday,22,no,Mobile App,Application Error,Low,Application Support,yes,31,673,528,251,82.79,40.6,60.1,1,no
INC100074,Monday,2,no,CRM,Batch Failure,Critical,Application Support,no,134,2923,96,61,96.38,66.5,51.5,18,no
INC100075,Tuesday,6,no,ATM Network,Network Outage,High,Network,no,64,1918,562,250,82.84,75.3,76.7,9,yes
INC100076,Tuesday,23,no,Core Banking,Security Alert,High,Security,no,31,703,615,327,80.0,46.7,38.7,1,yes
INC100077,Thursday,9,no,Home Banking,Performance Degradation,Low,Infrastructure,yes,43,940,208,107,92.67,76.7,70.3,4,no
INC100078,Thursday,15,no,CRM,Application Error,High,Application Support,yes,254,5203,67,28,97.58,82.9,71.0,19,no
INC100079,Friday,12,yes,CRM,Application Error,High,Application Support,no,81,2987,118,120,91.45,58.0,36.1,5,no
INC100080,Thursday,13,no,Home Banking,Network Outage,Critical,Network,yes,246,6003,102,54,96.61,69.7,64.2,9,no
INC100081,Wednesday,21,no,Payments Gateway,Application Error,Medium,Application Support,yes,25,717,514,273,81.39,65.1,66.4,5,yes
INC100082,Friday,10,no,Core Banking,Security Alert,High,Security,no,41,846,266,151,89.41,66.9,51.4,6,yes
INC100083,Monday,7,no,Mobile App,Application Error,Medium,Application Support,yes,38,1173,157,53,96.95,66.4,64.3,1,no
INC100084,Monday,14,no,Home Banking,Performance Degradation,High,DBA,no,99,1802,145,51,96.33,75.1,68.0,8,no
INC100085,Monday,6,no,CRM,Human Error,Low,Application Support,no,27,571,127,78,94.75,73.1,61.3,0,no
INC100086,Friday,14,no,Trading Platform,Performance Degradation,High,Infrastructure,no,36,787,293,150,89.74,58.7,54.1,0,yes
INC100087,Wednesday,16,no,Home Banking,Performance Degradation,Low,Infrastructure,no,47,1215,362,191,86.27,74.1,74.5,0,no
INC100088,Monday,2,no,Core Banking,Batch Failure,Critical,DBA,no,40,844,424,267,81.42,63.0,63.5,13,yes
INC100089,Wednesday,23,no,Core Banking,Application Error,Critical,Application Support,no,70,2122,199,98,94.03,57.1,68.0,43,yes
INC100090,Monday,5,no,Home Banking,Application Error,High,Application Support,yes,216,5847,207,148,89.4,72.3,89.6,12,no
INC100091,Friday,15,no,Core Banking,Hardware Failure,Critical,Infrastructure,no,22,467,228,62,95.91,51.9,50.6,3,yes
INC100092,Wednesday,3,no,Home Banking,Hardware Failure,High,Infrastructure,no,108,3109,228,100,92.65,62.8,70.1,4,no
INC100093,Tuesday,1,no,CRM,Application Error,High,Application Support,no,146,3416,148,55,95.85,40.3,38.6,23,no
INC100094,Tuesday,22,no,Core Banking,Application Error,Low,Application Support,no,47,1066,226,131,90.41,88.3,80.7,5,no
INC100095,Thursday,3,no,Trading Platform,Network Outage,High,Network,yes,32,914,280,106,92.97,55.1,67.4,6,yes
INC100096,Tuesday,15,yes,Core Banking,Performance Degradation,High,Infrastructure,yes,178,2773,108,119,91.43,56.6,41.7,4,no
INC100097,Monday,14,no,Mobile App,Performance Degradation,Medium,Infrastructure,no,31,892,442,217,85.37,65.7,75.0,12,no
INC100098,Monday,10,yes,Mobile App,Performance Degradation,High,Infrastructure,no,81,1878,210,162,88.56,68.1,62.5,19,no
INC100099,Sunday,9,no,CRM,Human Error,High,Infrastructure,no,17,358,132,106,92.68,52.0,52.5,3,no
INC100100,Saturday,15,no,Home Banking,Application Error,High,Application Support,no,15,523,162,97,93.41,71.1,86.8,8,no
INC100101,Friday,10,yes,Home Banking,Performance Degradation,High,DBA,no,73,1654,226,141,89.64,62.8,71.1,3,no
INC100102,Tuesday,15,no,Trading Platform,Performance Degradation,High,Infrastructure,no,17,467,179,153,89.45,61.2,71.8,7,no
INC100103,Sunday,18,no,ATM Network,Application Error,Low,Application Support,no,51,1417,787,472,80.0,54.1,48.7,0,no
INC100104,Friday,13,no,Trading Platform,Human Error,Medium,Application Support,no,138,3630,127,68,95.68,43.4,36.8,1,no
INC100105,Friday,2,no,Core Banking,Batch Failure,Medium,Application Support,no,352,8357,464,301,80.0,44.5,74.1,10,no
INC100106,Wednesday,0,no,Home Banking,Security Alert,High,Security,no,86,2017,552,318,80.0,77.4,68.1,6,yes
INC100107,Tuesday,9,no,ATM Network,Security Alert,Low,Security,no,129,3933,569,307,80.0,80.9,77.7,10,no
INC100108,Monday,15,no,ATM Network,Human Error,Medium,Infrastructure,no,87,2460,250,135,91.12,51.1,45.2,6,no
INC100109,Saturday,5,yes,ATM Network,Network Outage,Critical,Network,no,51,1138,315,200,85.9,72.8,67.0,8,yes
INC100110,Wednesday,18,no,Mobile App,Network Outage,Medium,Network,no,13,272,977,475,80.0,51.6,52.9,2,yes
INC100111,Monday,18,no,Home Banking,Hardware Failure,Critical,Infrastructure,no,414,9300,301,184,87.11,34.9,40.6,5,yes
INC100112,Tuesday,10,yes,CRM,Security Alert,Medium,Security,no,15,481,526,315,80.0,71.2,59.2,1,yes
INC100113,Thursday,15,no,ATM Network,Performance Degradation,Low,Infrastructure,no,180,5273,371,190,86.94,66.3,57.2,17,no
INC100114,Monday,22,yes,Home Banking,Security Alert,Medium,Security,no,117,3179,271,114,91.71,64.2,43.8,4,no
INC100115,Saturday,2,no,CRM,Application Error,Medium,Application Support,no,15,265,232,147,90.13,78.7,74.3,0,no
INC100116,Friday,10,no,Mobile App,Performance Degradation,Medium,Infrastructure,no,99,2806,509,294,80.0,80.3,91.9,9,yes
INC100117,Friday,6,yes,Mobile App,Human Error,High,Application Support,no,532,16088,76,48,97.02,100.0,99.0,87,no
INC100118,Wednesday,0,yes,Core Banking,Batch Failure,Low,DBA,no,225,5828,646,326,80.0,71.8,76.3,10,no
INC100119,Thursday,8,no,ATM Network,Performance Degradation,High,Infrastructure,yes,42,1368,155,68,94.66,87.0,68.2,19,no
INC100120,Thursday,16,no,Mobile App,Human Error,Medium,Infrastructure,yes,39,750,172,71,95.52,54.8,51.4,6,no
INC100121,Thursday,6,yes,ATM Network,Hardware Failure,High,Infrastructure,yes,69,1930,192,114,91.83,59.6,49.7,13,no
INC100122,Monday,17,no,Trading Platform,Human Error,Low,Infrastructure,no,37,815,161,67,94.83,64.9,75.1,10,no
INC100123,Wednesday,10,no,Home Banking,Network Outage,Medium,Infrastructure,no,225,6610,493,271,81.11,79.7,66.1,20,yes
INC100124,Monday,9,no,CRM,Human Error,Medium,Application Support,yes,79,2181,100,75,94.88,69.4,59.1,4,no
INC100125,Wednesday,0,no,Home Banking,Application Error,Low,Application Support,yes,13,427,156,84,94.11,69.8,41.4,4,no
INC100126,Tuesday,15,no,Mobile App,Performance Degradation,Critical,Infrastructure,no,142,3832,322,164,88.77,81.1,62.8,8,yes
INC100127,Monday,9,no,Payments Gateway,Performance Degradation,Low,Infrastructure,yes,49,1162,172,104,92.89,44.4,62.3,7,no
INC100128,Monday,0,yes,ATM Network,Hardware Failure,Critical,Infrastructure,no,74,1786,163,69,95.31,57.8,60.3,9,yes
INC100129,Thursday,8,yes,Payments Gateway,Human Error,Medium,Application Support,yes,86,2054,102,36,97.97,86.2,75.4,20,yes
INC100130,Monday,1,no,Mobile App,Security Alert,Critical,Security,no,260,5954,316,156,89.16,42.6,40.9,24,yes
INC100131,Sunday,10,no,Trading Platform,Performance Degradation,Low,Infrastructure,no,104,3142,178,141,90.19,91.0,73.1,2,no
INC100132,Thursday,9,no,ATM Network,Network Outage,Low,Network,no,26,798,924,532,80.0,74.4,61.5,16,no
INC100133,Tuesday,10,no,Trading Platform,Performance Degradation,Medium,Infrastructure,no,48,827,191,109,92.62,57.8,69.1,9,no
INC100134,Thursday,17,no,Home Banking,Performance Degradation,High,Infrastructure,yes,56,1403,144,60,95.52,77.1,62.0,2,no
INC100135,Monday,2,no,Core Banking,Batch Failure,Critical,Application Support,no,18,489,121,58,95.94,44.7,40.4,1,yes
INC100136,Sunday,16,no,Mobile App,Performance Degradation,Medium,Infrastructure,no,68,1466,882,405,80.0,60.2,69.1,14,yes
INC100137,Wednesday,9,no,Core Banking,Human Error,Medium,Application Support,no,370,9906,186,120,91.46,70.6,50.0,11,no
INC100138,Friday,3,no,Payments Gateway,Security Alert,Critical,Security,no,17,608,130,91,93.49,61.6,66.1,2,yes
INC100139,Monday,15,no,Payments Gateway,Hardware Failure,High,Infrastructure,no,74,2127,326,231,83.47,50.1,69.0,8,yes
INC100140,Wednesday,20,no,Mobile App,Network Outage,Medium,Network,no,67,1946,433,230,83.02,58.9,54.2,3,no
INC100141,Wednesday,16,no,Home Banking,Performance Degradation,Low,DBA,no,84,1802,409,239,83.27,55.2,58.1,3,no
INC100142,Sunday,3,no,Core Banking,Batch Failure,High,Application Support,no,30,744,368,236,83.66,39.1,28.1,5,yes
INC100143,Thursday,10,no,Payments Gateway,Network Outage,High,Network,no,21,428,285,159,88.57,33.2,27.6,1,yes
INC100144,Wednesday,8,no,Payments Gateway,Performance Degradation,Medium,Infrastructure,no,19,497,154,47,97.22,97.9,80.6,5,no
INC100145,Tuesday,16,no,Mobile App,Application Error,High,Application Support,no,274,7199,188,120,91.3,79.5,69.9,7,no
INC100146,Tuesday,2,yes,Core Banking,Batch Failure,High,Application Support,no,30,911,317,222,84.9,74.6,65.8,8,yes
INC100147,Wednesday,9,no,Home Banking,Security Alert,Low,Security,no,41,1196,372,218,85.01,64.2,56.7,3,no
INC100148,Wednesday,19,no,ATM Network,Network Outage,Critical,Network,no,478,13259,263,110,93.12,58.9,54.3,59,yes
INC100149,Monday,16,yes,Core Banking,Application Error,High,Application Support,no,40,871,223,115,92.2,84.3,72.3,0,no
INC100150,Friday,7,no,Mobile App,Application Error,Low,Application Support,no,82,1620,380,204,85.33,71.2,58.2,15,no
INC100151,Saturday,21,yes,ATM Network,Network Outage,High,Infrastructure,no,165,4474,611,388,80.0,89.4,71.9,3,yes
INC100152,Monday,3,no,ATM Network,Network Outage,High,Network,no,158,4801,130,99,93.72,69.8,49.5,37,no
INC100153,Thursday,9,no,Trading Platform,Performance Degradation,Medium,DBA,yes,15,376,138,64,94.94,92.1,74.5,1,no
INC100154,Monday,10,no,Payments Gateway,Performance Degradation,Medium,Infrastructure,no,36,674,501,151,89.74,71.8,68.6,4,yes
INC100155,Thursday,3,no,CRM,Batch Failure,Critical,DBA,yes,63,2134,244,138,90.72,39.6,45.8,8,yes
INC100156,Tuesday,8,yes,CRM,Human Error,Low,Application Support,no,196,5312,646,303,80.0,63.7,44.4,3,no
INC100157,Thursday,0,no,Core Banking,Batch Failure,Medium,DBA,yes,33,857,234,119,90.89,30.7,38.1,7,no
INC100158,Friday,14,no,Home Banking,Performance Degradation,Critical,Infrastructure,yes,61,1252,107,32,97.67,61.1,65.4,1,no
INC100159,Friday,5,yes,Core Banking,Batch Failure,Critical,Application Support,no,121,3086,238,163,88.48,68.1,52.5,4,yes
INC100160,Monday,12,no,Mobile App,Performance Degradation,Medium,Infrastructure,no,131,3680,511,239,83.94,59.1,62.1,9,yes
INC100161,Saturday,6,no,Mobile App,Application Error,Medium,Application Support,no,130,3522,460,235,83.65,56.6,60.2,29,no
INC100162,Monday,13,no,Home Banking,Human Error,Medium,Application Support,no,35,865,267,189,86.73,55.6,53.1,3,no
INC100163,Monday,11,no,Mobile App,Network Outage,High,Infrastructure,no,51,1238,351,165,88.34,51.0,47.0,6,no
INC100164,Thursday,10,no,Mobile App,Performance Degradation,Medium,Infrastructure,no,91,2003,364,152,89.56,100.0,78.9,3,no
INC100165,Tuesday,3,no,Payments Gateway,Application Error,Medium,Application Support,no,202,6394,211,121,91.62,79.1,66.1,22,no
INC100166,Friday,4,no,Mobile App,Batch Failure,Critical,Application Support,no,71,2014,142,87,93.68,59.9,45.5,37,yes
INC100167,Friday,3,no,CRM,Network Outage,Critical,Network,no,47,977,154,33,97.8,69.8,66.2,1,yes
INC100168,Tuesday,10,no,Home Banking,Performance Degradation,Medium,Infrastructure,no,30,583,168,137,90.29,93.4,84.9,2,no
INC100169,Sunday,10,no,Mobile App,Performance Degradation,Low,DBA,no,341,8917,224,129,90.13,79.8,76.5,19,no
INC100170,Tuesday,10,no,CRM,Human Error,Medium,Application Support,no,46,1057,145,69,95.44,45.4,53.6,11,no
INC100171,Wednesday,11,no,Payments Gateway,Security Alert,High,Security,no,199,4610,234,72,95.2,94.1,83.9,3,no
INC100172,Tuesday,12,no,ATM Network,Human Error,Low,Application Support,no,53,1086,242,133,90.83,77.4,71.9,9,no
INC100173,Sunday,2,yes,Core Banking,Batch Failure,High,DBA,no,78,1639,388,196,86.23,35.2,45.8,2,no
INC100174,Monday,19,no,Core Banking,Hardware Failure,High,Infrastructure,no,18,490,407,257,82.13,56.2,57.7,18,no
INC100175,Monday,10,no,Trading Platform,Performance Degradation,Critical,DBA,no,9,189,120,15,99.25,67.6,63.3,0,no
INC100176,Wednesday,13,no,Payments Gateway,Performance Degradation,Medium,Infrastructure,no,212,7451,190,99,92.9,61.9,64.2,19,no
INC100177,Sunday,13,no,ATM Network,Human Error,Low,Application Support,no,55,1462,428,223,84.81,36.6,53.6,4,no
INC100178,Saturday,17,no,Mobile App,Security Alert,Low,Security,no,76,1529,601,302,80.0,59.3,65.2,4,no
INC100179,Friday,7,no,Payments Gateway,Human Error,Medium,Application Support,no,21,463,144,67,95.41,59.1,44.5,4,no
INC100180,Saturday,16,no,Home Banking,Security Alert,Medium,Security,yes,34,863,286,158,89.04,65.2,50.2,4,no
INC100181,Saturday,12,no,ATM Network,Application Error,High,Application Support,no,174,4047,197,134,91.05,69.6,70.7,8,no
INC100182,Wednesday,17,no,Mobile App,Security Alert,Low,Security,no,306,9229,396,175,87.53,57.2,62.5,24,no
INC100183,Tuesday,11,yes,Core Banking,Application Error,Critical,Application Support,no,50,1273,116,38,97.08,74.9,56.7,11,no
INC100184,Friday,11,no,Payments Gateway,Human Error,Medium,Application Support,no,126,2156,154,30,97.43,68.3,73.9,1,no
INC100185,Thursday,6,yes,CRM,Hardware Failure,Medium,Infrastructure,no,45,969,730,349,80.0,52.4,56.9,12,yes
INC100186,Tuesday,14,no,Mobile App,Application Error,High,Application Support,no,74,1649,264,112,92.31,48.9,48.2,40,yes
INC100187,Monday,20,no,Mobile App,Application Error,Medium,Application Support,yes,375,10025,417,277,80.13,35.4,42.4,1,no
INC100188,Friday,1,no,Home Banking,Batch Failure,Critical,Application Support,no,60,1197,284,138,90.26,60.8,51.2,3,yes
INC100189,Tuesday,9,no,Trading Platform,Performance Degradation,Medium,Infrastructure,no,155,3940,694,445,80.0,70.8,63.4,42,yes
INC100190,Sunday,2,yes,Home Banking,Batch Failure,Low,Application Support,no,86,1628,742,372,80.0,75.9,79.9,17,no
INC100191,Tuesday,17,no,ATM Network,Security Alert,Medium,Security,no,60,1530,490,296,80.0,49.6,44.0,22,yes
INC100192,Monday,16,no,Home Banking,Performance Degradation,Low,Infrastructure,no,224,5963,303,158,88.5,89.5,73.6,18,no
INC100193,Saturday,2,yes,CRM,Hardware Failure,Critical,Infrastructure,no,62,1910,462,285,80.17,55.4,74.7,1,yes
INC100194,Monday,8,no,CRM,Application Error,Medium,Application Support,yes,37,979,154,94,93.48,53.3,25.1,15,yes
INC100195,Monday,10,no,Mobile App,Performance Degradation,Low,Infrastructure,no,221,4838,195,119,91.68,81.0,69.2,20,no
INC100196,Thursday,6,yes,Home Banking,Batch Failure,Low,Application Support,no,189,5857,918,513,80.0,63.2,68.2,34,no
INC100197,Saturday,9,no,Home Banking,Human Error,Medium,Application Support,no,226,5540,125,87,93.85,33.3,33.4,3,no
INC100198,Monday,5,no,Mobile App,Application Error,Medium,Application Support,no,2,15,389,261,81.72,96.2,74.4,1,no
INC100199,Tuesday,4,no,Home Banking,Application Error,Low,Application Support,no,91,2037,282,210,85.05,67.2,47.1,9,no
INC100200,Friday,2,yes,Core Banking,Batch Failure,Medium,DBA,no,80,2010,584,319,80.0,46.3,36.8,26,yes
INC100201,Sunday,11,no,CRM,Hardware Failure,Medium,Infrastructure,no,39,875,1200,753,80.0,60.6,61.7,17,yes
INC100202,Wednesday,8,no,Home Banking,Application Error,High,Application Support,no,146,3780,279,129,91.1,65.1,76.0,5,no
INC100203,Monday,11,no,Mobile App,Performance Degradation,Critical,DBA,no,118,3387,236,156,89.8,72.5,43.0,5,yes
INC100204,Monday,22,no,Mobile App,Hardware Failure,Medium,Infrastructure,no,130,3015,545,276,81.22,62.6,61.0,69,yes
INC100205,Monday,23,no,Payments Gateway,Hardware Failure,High,Infrastructure,no,56,1346,1022,484,80.0,86.5,84.2,2,yes
INC100206,Monday,15,no,Mobile App,Application Error,High,Application Support,no,318,8402,307,210,85.5,62.9,60.2,30,yes
INC100207,Thursday,2,no,Core Banking,Batch Failure,Critical,Application Support,yes,167,3601,71,18,98.71,100.0,97.0,8,yes
INC100208,Monday,18,yes,Payments Gateway,Application Error,High,Application Support,yes,123,2354,147,64,95.24,92.9,67.8,14,no
INC100209,Wednesday,2,yes,CRM,Batch Failure,High,Application Support,no,65,1758,225,161,88.73,70.9,46.3,3,no
INC100210,Friday,15,no,Mobile App,Security Alert,Medium,Security,yes,213,5204,222,140,90.48,65.9,63.5,5,no
INC100211,Thursday,5,no,CRM,Network Outage,High,Infrastructure,no,106,2515,135,72,95.14,50.7,45.9,7,no
INC100212,Monday,11,no,Payments Gateway,Performance Degradation,Critical,DBA,no,77,2012,160,1,100.0,80.2,71.7,3,yes
INC100213,Friday,10,no,Payments Gateway,Application Error,Low,Application Support,no,142,3935,225,152,89.87,82.6,57.8,3,no
INC100214,Friday,14,no,Home Banking,Performance Degradation,Medium,DBA,no,89,2229,92,58,95.92,74.4,65.5,16,no
INC100215,Friday,0,yes,Core Banking,Batch Failure,Critical,Application Support,no,466,9505,141,99,93.19,45.7,39.6,112,yes
INC100216,Monday,9,yes,Trading Platform,Performance Degradation,High,DBA,no,150,3355,140,94,92.81,84.9,82.5,8,no
INC100217,Monday,2,no,Core Banking,Batch Failure,High,DBA,no,41,1106,164,72,95.79,77.4,68.7,0,no
INC100218,Sunday,9,no,Payments Gateway,Human Error,Medium,Application Support,no,561,14407,54,15,98.81,52.8,36.3,25,no
INC100219,Wednesday,20,no,Payments Gateway,Security Alert,Medium,Security,no,9,295,261,113,92.38,66.1,58.4,1,no
INC100220,Tuesday,0,no,Home Banking,Application Error,Medium,Application Support,no,128,2815,295,133,90.62,74.5,80.8,5,no
